ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments,,,,,,,,,,,,,,,,,,,,
running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date ,Latest possible date ,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume ,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge ,Maximum reported peak discharge ,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments,,,,,,,,,,,,,,,,,,,,
,,e.g. Karakoram,e.g. Pakistan ,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m² ,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,,,,,,,,,,,,,,,,,,,,,
297,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01950,﻿RGI60-16.01950,"﻿0,121",Laguna Solita Janca,moraine/bedrock,-77.02,-9.99,,,2016-01-24,2016-05-05,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,25095,646,2016-01-24,RapidEye,1834405_2016-01-24_RE5_3A_Analytic_SR_clip,2,19906,573,2016-05-05,RapidEye,1834405_2016-05-05_RE2_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
298,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00869,﻿RGI60-16.00869,"﻿2,318",,moraine/bedrock,-69.28,-14.65,,,,2015-10,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,no suitable image material found via Planet Explorer OR no change after GLOF,,,,,,,,,,,,,,,,,,,,
299,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00909,﻿RGI60-16.00909,"﻿1,551",,moraine,-69.25,-14.72,,,,2015-10,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,14988,533,2015-10-06,RapidEye,1932313_2015-10-06_RE1_3A_Analytic_SR_clip,2,10047,404,2015-10-21,RapidEye,1932313_2015-10-21_RE2_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
300,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01875,RGI60-16.01875,8.82,Chaclan,moraine,-76.89,-10.24,,2016,2016-01-24,2016-05-09,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"Baťka, J., Vilímek, V., Štefanová, E., Cook, S. J., & Emmer, A. (2020). Glacial Lake Outburst Floods (GLOFs) in the Cordillera Huayhuash, Peru: Historic Events and Current Susceptibility. Water, 12(10), 2664.; RapidEye Ortho Tiles (2016-01-24, 2016-05-09) from Image courtesy of Planet Labs, Inc. (planet.com)",,77045,1247,2016-01-23,Landsat 8,LC08_008067_20160123,2,61817,1142,2016-05-07,Landsat 8,LC08_007067_20160507,2,,,,,,,,,,,,,,,,,,,,,
301,Southern Andes,Patagonia,Chile,HPN4 Glacier,RGI60-17.15896,65.40,,ice,-73.56,-47.44,,2014-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,"El Mercurio (2019-07-01). Chile tendrá su primer inventario de lagos glaciares y un mapa de riesgos de crecidas: https://www.infraestructurapublica.cl/chile-tendra-primer-inventario-lagos-glaciares-mapa-riesgos-crecidas/#:~:text=CUADERNOS%20Y%20PUBLICACIONES-,Chile%20tendr%C3%A1%20su%20primer%20inventario%20de%20lagos%20glaciares,mapa%20de%20riesgos%20de%20crecidas&text=EL%20MERCURIO%20%E2%80%93%20Los%20pobladores%20del,cierne%20una%20amenaza%20cada%20verano.",,,,,,,,,,,,,,Lake not clearly visible,,,,,,,,,,,,,,,,,,,,
302,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2014-02-01,,,englacial and subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,4953503,22733,2014-01-18,Landsat 8,LC08_232093_20140118,2,75525,2202,2014-02-12,Landsat 8,LC08_231093_20140212,2,,,,,,,,,,,,,,,,,,,,,
303,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00928,﻿RGI60-16.00928,"﻿1,858",,moraine/bedrock,-69.41,-14.60,,,,2014-06,,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,3083,283,2015-06-13,RapidEye,1932313_2015-06-13_RE5_3A_Analytic_SR_clip,2,2295,265,2015-10-06,RapidEye,1932313_2015-10-06_RE1_3A_Analytic_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
306,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2014-08-18,,,englacial and subglacial,,,,,167.85,,,gaged at station Baker en Colonia,2695.61,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,2725866,,2014-05-10,Landsat 8,2014-05-10-00_00_2014-05-10-23_59_Landsat_8-9_L1_True_color_-_pansharpened,1,0,0,2014-09-15,Landsat 8,2014-09-15-00_00_2014-09-15-23_59_Landsat_8-9_L1_False_color,1,"Shadows in L8 image before, small cloud in L8 image after, could still be a very small lake beneath the cloud.",,,,,,,,,,,,,,,,,,,,
307,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00248,﻿RGI60-16.00248,"﻿2,109",,moraine/bedrock,-72.62,-13.37,,,2014-08-18,2014-09-02,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,3610,243,2014-06-22,RapidEye,1832925_2014-06-22_RE5_3A_Analytic_SR_clip,1,3291,249,2015-07-11,RapidEye,1832925_2015-07-11_RE4_3A_Analytic_SR_clip,1,"change in lake area unclear, but debris flow track visible",,,,,,,,,,,,,,,,,,,,
308,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2014-11-26,,,englacial and subglacial,,,,,149.81,,,gaged at station Baker en Colonia,1876.39,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,3455636,15027,2014-11-26,Landsat 7,LE07_232093_20141126,1,755381,11774,2014-12-13,Landsat 8,LC08_231093_20141213,2,before image L7 gaps,,,,,,,,,,,,,,,,,,,,
309,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02313,﻿RGI60-16.02313,"﻿1,287",Huallcacocha,moraine,-77.55,-9.16,,,2014-12-19,2015-06-13,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,172649,2052,2014-06-19,RapidEye,1834803_2014-06-19_RE1_3A_Analytic_SR_clip,2,173279,2067,2015-06-07,RapidEye,1834803_2015-06-07_RE2_3A_Analytic_SR_clip,2,GLOF did not change lake area (this comment was written before mapping of the glof),,,,,,,,,,,,,,,,,,,,
310,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2015-06-18,,,englacial and subglacial,,,,,231.64,,,gaged at station Baker en Colonia,2458.18,,,gaged at station Baker en Colonia,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,3730653,,2015-06-18,Landsat 8,2015-06-07-00_00_2015-06-07-23_59_Landsat_8-9_L1_False_color,2,382059,,2015-06-30,Landsat 8,2015-06-30-00_00_2015-06-30-23_59_Landsat_8-9_L1_False_color,2,,,,,,,,,,,,,,,,,,,,,
311,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00343,﻿RGI60-16.00343,"﻿0,745",,moraine,-72.73,-13.25,,,2015-08-04,2016-04-23,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,20673,631,2015-07-19,RapidEye,1832925_2015-07-19_RE2_3A_Analytic_SR_clip,2,18591,556,2016-05-01,RapidEye,1832925_2016-05-01_RE4_3A_Analytic_SR_clip,1,no change in lake area visible (this comment was written before mapping of the glof),,,,,,,,,,,,,,,,,,,,
312,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2015-11-15,,,englacial and subglacial,,,,,134.37,,,gaged at station Baker en Colonia,1829.65,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,3136758,13913,2015-10-29,Landsat 8,LC08_231093_20151029,2,246799,3063,2015-11-21,Landsat 8,LC08_232093_20151121,2,,,,,,,,,,,,,,,,,,,,,
313,Southern Andes,Patagonia,Chile,RGI60-17.08517,RGI60-17.08523,5.49,,moraine,-73.12,-46.53,,,2015-12-04,2016-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"Wilson, R., Glasser, N. F., Reynolds, J. M., Harrison, S., Anacona, P. I., Schaefer, M., & Shannon, S. (2018). Glacial lakes of the Central and Patagonian Andes. Global and Planetary Change, 162, 275-291.",,798682,6703,2015-12-04,Planetscope,20151204_165709_0c18_3B_Visual_clip,2,746898,5300,2016-03-21,Planetscope,20160321_165714_0c64_3B_Visual_clip,2,unsure about correct time frame,,,,,,,,,,,,,,,,,,,,
314,Southern Andes,Patagonia,Chile,RGI60-17.08927,RGI60-17.08927,1.92,,moraine/bedrock,-72.88,-46.27,Huiña,,2015,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"Pablo Iribarren Anacona, pers. comm.",,23775,830,2015-02-27,RapidEye,1817721_2015-02-27_RE5_3A_Analytic_SR_clip,2,13904,842,2016-11-29,Planetscope,310936_1817721_2016-11-29_0c65_BGRN_Analytic_clip,2,,,,,,,,,,,,,,,,,,,,,
315,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00985,﻿RGI60-16.00985,"﻿1,309",,moraine,-71.22,-13.81,,,,2016-01-25,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,16031,583,2016-01-22,RapidEye,1932704_2016-01-22_RE4_3A_Analytic_SR_clip,2,10687,423,2016-03-04,RapidEye,1932704_2016-03-04_RE3_3A_Analytic_SR_clip,1,,,,,,,,,,,,,,,,,,,,,
316,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,2016-03,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,2018,https://www.nationalgeographic.com/travel/destinations/south-america/argentina/perito-moreno-glacier-collapse-video-argentina-patagonia-spd/,,146108030,169641,2016-01-10,Landsat 8,LC08_230095_20160110,2,10687,143641,2016-05-01,Landsat 8,LC08_230095_20160501,2,,,,,,,,,,,,,,,,,,,,,
317,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00532,﻿RGI60-16.00532,"﻿0,649",,bedrock,-68.11,-16.30,,2016-12,2016-08-16,2017-02-15,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: calving and ice / ice rock avalanches, ice dam failures",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,6676,324,2016-12-16,RapidEye,1931518_2016-12-16_RE5_3A_Analytic_SR_clip,2,5813,312,2016-12-17,Planetscope,332048_1931518_2016-12-17_0c75_BGRN_Analytic_clip,2,,,,,,,,,,,,,,,,,,,,,
318,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2016-11-29,,,englacial and subglacial,,,,,191.22,,,gaged at station Baker en Colonia,1221.30,,,gaged at station Baker en Colonia; base flow removed,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,4208010,18267,2016-11-23,Landsat 8,LC08_232093_20161123,2,812610,5609,2016-12-02,Landsat 8,LC08_231093_20161202,2,together with below lake,,,,,,,,,,,,,,,,,,,,
319,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2016-12-25,,,englacial and subglacial,,,,,72.37,,,gaged at station Baker en Colonia,1158.51,,,gaged at station Baker en Colonia,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,2251915,,2016-12-17,Landsat 7,2016-12-17-00_00_2016-12-17-23_59_Landsat_7_ETM+_L2_False_color,2,47484,,2017-01-17,Planetscope,365897_1817320_2017-01-17_0c45_BGRN_Analytic_clip,2,,,,,,,,,,,,,,,,,,,,,
320,Low Latitudes,Low-latitude Andes,Bolivia,﻿RGI60-16.00846,﻿RGI60-16.00846,"﻿2,395",,ice,-67.35,-16.95,,2017-01,,,opening of subglacial tunel,,,,,,,,,,,,,,,,,,,,,,,,,"complete drainage, triggers: calving and ice / ice rock avalanches, ice dam failures",2020,"Dirk Hoffmann pers. Comm. 8 July 2020 CITED IN Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,30091,,2016-12-19,Planetscope,336665_1931222_2016-12-19_0c78_BGRN_Analytic_clip,2,15796,,2017-01-20,Planetscope,370764_1931222_2017-01-20_0c59_BGRN_Analytic_clip,,,,,,,,,,,,,,,,,,,,,,
321,Southern Andes,Patagonia,Argentina,RGI60-17.11910,RGI60-17.11910,2.05,,moraine,-72.13,-42.28,Turbio,2017,2017-06,2017-07,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"Pablo Iribarren Anacona, pers. comm.",,155711,,2017-06-18,Planetscope,560186_1819524_2017-06-18_103d_BGRN_SR_clip,2,0,0,2017-07-01,Planetscope,592256_1819524_2017-07-01_0e1f_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
322,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Cachet,ice,-73.26,-47.18,Río Baker,2017-11-06,,,englacial and subglacial,,,,,107.40,,,gaged at station Baker en Colonia,600.07,,,gaged at station Baker en Colonia,,,,,,,,,,,,,,2017,"Jacquet, J., McCoy, S. W., Mcgrath, D., Nimick, D. A., Fahey, M., O'kuinghttons, J., ... & Leidich, J. (2017). Hydrologic and geomorphic changes resulting from episodic glacial lake outburst floods: Rio Colonia, Patagonia, Chile. Geophysical Research Letters, 44(2), 854-864.",,3729669,16927,2017-11-03,Landsat 8,LC08_231093_20171103,2,741965,6083,2017-11-10,Landsat 8,LC08_232093_20171110,2,,,,,,,,,,,,,,,,,,,,,
323,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Lago Argentino,ice,-72.98,-50.50,Santa Cruz,2018-03-11,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,2018,"https://www.nationalgeographic.com/travel/destinations/south-america/argentina/perito-moreno-glacier-collapse-video-argentina-patagonia-spd/; Tamburini Beliveau, G., & Roberti, G. (2021). High resolution SPOT DEM over large areas in central and south Andes and observations on the 2018 Perito Moreno glacial lake outburst flood.Geografia Fisica e Dinamica Quaternaria, vol. 43, no. 2, pp. 209.",,181547379,169780,2018-02-22,Sentinel-2,S2B_MSIL1C_20180222T142029_N0206_R010_T18FXK_20180222T205741_Visual_clip,2,127364816,150817,2018-04-28,Landsat 8,LC82310952018118LGN00_Visual_clip,2,,,,,,,,,,,,,,,,,,,,,
324,Southern Andes,Patagonia,Chile,Exploradores,RGI60-17.15831,85.79,Laguna Triángulo,ice,-73.16,-46.60,,2018-04,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,2020,"Pablo Iribarren Anacona, pers. comm.",,972995,5800,2018-03-19,Planetscope,20180319_164643_0c59_3B_AnalyticMS_clip,2,535793,3825,2018-04-30,Planetscope,20180430_160635_104a_3B_AnalyticMS_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
325,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.00332,﻿RGI60-16.00332,"﻿3,080",,moraine/bedrock,-72.06,-13.20,,,2018-08-29,2019-04-08,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage; triggers: extreme precipitation / snowmelt / flood from usptream,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,GLOF did not change lake area,,,,,,,,,,,,,,,,,,,,
326,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.02402,﻿RGI60-16.02402,"﻿0,459",,moraine/bedrock,-77.55,-9.08,,,2018-08,2019-06,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage; triggers: extreme precipitation / snowmelt / flood from usptream,2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,GLOF did not change lake area,,,,,,,,,,,,,,,,,,,,
327,Southern Andes,Patagonia,Chile,RGI60-17.08478,RGI60-17.08478,0.86,,moraine,-72.92,-46.57,,2018-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The lake limited the passage of tourists between October 2018 and March 2019 on the route X-728, generating hundreds of millions of pesos in losses in tourism and rehabilitation expenses, including the partial drainage of the lake, the construction of an embankment and the operation of a system of posts for the transfer of people.",2020,"Pablo Iribarren Anacona, pers. comm.",,23062,650,2018-10-05,Landsat 8,LC08_231093_20181005,2,7344,356,2018-11-30,Landsat 7,LE07_231092_20181130,2,,,,,,,,,,,,,,,,,,,,,
328,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01292,﻿RGI60-16.01292,"﻿3,042",,moraine,-71.32,-13.86,2019,,2018-12-12,2019-04-04,overtopping,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,101782,1431,2019-02-06,Planetscope,20190206_143521_1009_3B_AnalyticMS_SR_clip,2,100122,1415,2019-02-21,Planetscope,20190221_145204_0f49_3B_AnalyticMS_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
329,Low Latitudes,Low-latitude Andes,Peru,﻿RGI60-16.01079,﻿RGI60-16.01079,"﻿10,639",,moraine/bedrock,-71.14,-13.70,,,2018-12-23,2019-03-23,breach,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,31303,,2018-12-28,Planetscope,1972746_1932705_2018-12-28_1042_BGRN_SR_clip,2,28252,,2019-01-08,Planetscope,2009590_1932705_2019-01-08_0f2e_BGRN_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
330,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01079,﻿RGI60-16.01079,"﻿10,639",,moraine/bedrock,-71.14,-13.70,,,2018-12-23,2019-03-23,breach,,,,,,,,,,,,,,,,,,,,,,,,,"partial drainage; triggers: landslides, rockfalls and debris flows",2021,"Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,10190,,2018-12-28,Planetscope,1972746_1932705_2018-12-28_1042_BGRN_SR_clipo,2,6501,,2019-01-07,Planetscope,20190107_145916_1054_3B_AnalyticMS_SR_clip,2,,,,,,,,,,,,,,,,,,,,,
331,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,263.32,Brazo Rico,ice,-72.98,-50.50,Santa Cruz,2019,,,tunneling and collapse,,,,,,,,,,,,,,,,,,,,,,,,,,unkown,https://en.wikipedia.org/wiki/Perito_Moreno_Glacier,,114756935,140186,2019-07-07,Planetscope,2502833_1815821_2019-07-07_106d_BGRN_SR_clip; 2502603_1815721_2019-07-07_1020_BGRN_SR_clip; 2502833_1815721_2019-07-07_106d_BGRN_SR_clip; 2502833_1815720_2019-07-07_106d_BGRN_SR_clip; 2502833_1815620_2019-07-07_106d_BGRN_SR_clip; 2502603_1815821_2019-07-07_1020_BGRN_SR_clip,2,120626877,161921,2019-07-31,Planetscope,2564055_1815721_2019-07-31_104a_BGRN_SR_clip; 2564055_1815720_2019-07-31_104a_BGRN_SR_clip; 2564055_1815620_2019-07-31_104a_BGRN_SR_clip; 2564213_1815821_2019-07-31_0e20_BGRN_SR_clip,1,cloudy after image,,,,,,,,,,,,,,,,,,,,
