10y_expansion_rate,5y_expansion_rate,Elevation_m,GLOF,Lake_area_calculated_ha,Lake_type_simplified,Latitude,Longitude,Year_final,__source__,glacier_area_ha,glacier_contact,glacier_elev_m,glacier_touch_count,is_supraglacial,lake_area_filled_from_db,nearest_glacier_dist_m,slope_glac_to_lake
,1.763142262207311,3769,1,10.685718718664662,moraine,41.973,76.828,2014,pos,1567.8751253419168,1,4131.0,2,0,False,0.0,0.0
,6.566203405225679,5411,1,41.80403879309199,moraine,33.617,77.613,2014,pos,617.9301125815533,1,5836.0,13,0,False,0.0,0.0
,5.814747974871493,3269,1,58.54594617224758,ice,42.207,79.846,2015,pos,311.3018513834968,1,4448.0,4,0,False,0.0,0.0
46.48818333990515,40.3920329435325,4368,1,240.85642563863465,moraine,27.874,86.586,2015,pos,1211.6013839271177,1,6519.0,5,0,False,0.0,0.0
5.413156303953774,3.333893170094492,4960,1,45.874527376079726,ice,27.906,86.891,2015,pos,1912.58710047208,1,5878.0,5,1,False,0.0,0.0
0.1109299561222359,0.0475417925713186,4284,1,5.625828590637876,moraine,28.07,89.58,2015,pos,841.8661642368787,1,4946.0,2,0,False,0.0,0.0
,13.980444577399911,3886,1,72.30022551433073,other,35.997,74.666,2015,pos,1441.3448211446407,1,4981.0,7,0,False,0.0,0.0
,0.7678096040947717,4060,1,5.287797776593397,other,36.22,71.775,2015,pos,1990.970770397491,1,5108.0,3,0,False,0.0,0.0
,0.2029722428206151,4313,1,1.3048325309054092,other,36.174,71.898,2015,pos,78.39424811685454,1,4591.0,3,0,False,0.0,0.0
4.0903817886827785,-5.710667001652351,5045,1,49.08252487707486,ice,30.737,94.253,2015,pos,38.491701411148654,1,5418.0,4,1,False,0.0,0.0
,10.22839486521289,4779,1,52.38215161562131,ice,35.677,77.193,2015,pos,27626.56738116892,1,5653.0,3,0,False,0.0,0.0
